commit	date	category	rationale	subject
/Users/melihburakmemis/.rvm/scripts/rvm:29: operation not permitted: ps	undefined	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	
fbacec62b2cc3d1c8dfa596af4e9530a2882524e	2021-05-26	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	DOC: add documentation for total_ordering
cdadb9a0654c78cfc1792511c831ad4e7f787283	2021-06-01	reusable_test_concept	Test intent is reusable after rewriting for current Cython and HPy.	first cut at a hpy test
a28ffc0d424d95c63b3882847a433f8503bb7e0b	2021-06-01	reusable_test_concept	Test intent is reusable after rewriting for current Cython and HPy.	make runtests.py import hpy and add the hpy include path
99ebea819ef8799ec29573bab701b1a16d75bf45	2021-06-04	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	implement module initialization
1715e7766ac960ec97649ca3bd528688d4541ffb	2021-06-04	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	module initialization code generation and importing seems to work
9bdea3b5e4b614937b8e0236e5dd702df26a34ef	2021-06-27	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	add hpy to requirements.txt
a8cb0d60b774e648dd900c38169e143833156839	2021-09-13	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Add class attr 'is_hpy' to Node
b51c682beff512997d29c44935b95550c2bed1d4	2021-09-13	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Generate HPy code for BinOpNode
8c60d1a6897855f8db0a55965c0f25e2d117d0e8	2021-09-13	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: invalid C code for empty HPy defines
37147ea7bd82a9d0756a2d1f3126c15c419c6cd8	2021-09-15	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Temporarily introduce HPyType
48f7e88940e536ff091fcec0fd0b3c3ad2c0c845	2021-09-15	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Add HPy method flags
458d4bc5755254c610efe3eca35e31f67f613f34	2021-09-15	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Add default name for HPy context argument
8535a0ce2c779f7afe18c2165744d9aff9fbd216	2021-09-15	rejected_writer_experiment	Second-writer/duplicated-section experiment was reverted after review.	Introduce HPyCCodeWriter and move more code gen to it
a32b08eafb07556d6676562a8cdd952eade55ffe	2021-09-27	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: HPy method flag keywords contains varargs
d1ed4014650aa9e84ca1179a98eaa3201e7d5c56	2021-09-27	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Use macro as init value for Python object type in scope
4c0495660595fdfce886a3045885c8bcffb81445	2021-09-27	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Add type c_hpy_ssize_t
